timestamp,name,other_names,previous_names,oc_id,,jurisdiction,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,,,,
,Total Exploration and Production Nigeria Limited,Total Exploration and Production Nigeria Limited,,,,Nigeria,,,,,1962,http://www.ng.total.com/02_about_tepng/0207_tepngs_role.htm,,,"Guy Maurice, Elisabeth Proust, Charles Ngoka, Nicolas Brunet, Olivier De-Langavant, Edith Ofili-Okonkwo, Olubunmi Obembe, Patrick Ngene, Kingsley Ojoh, Francois Le-Cocq, Isabelle Gaildraud, Marc Blaizot, Clement Berthian, Olatowun Candide-Johnson",,http://www.ng.total.com/02_about_tepng/0208_tepng_board.htm,,,,,,,,,,,http://www.ng.total.com/02_about_tepng/0201_about_tepng.htm,,,,
,Totalfinaelf Nigeria Limited,Totalfinaelf Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL Nigeria Plc,TOTAL Nigeria Plc,,,,Nigeria,Public Limited Company,http://www.securities.com/Public/company-profile/NG/Total_Nigeria_Plc_en_2033781.html,,,1956,http://www.securities.com/Public/company-profile/NG/Total_Nigeria_Plc_en_2033781.html,"Total House,4, Afribank Street, Victoria Island,P. M. B 2143; Lagos; Lagos",http://www.securities.com/Public/company-profile/NG/Total_Nigeria_Plc_en_2033781.html,"Momar Nguer (Chairman), Denis Toulouse (Director / Member of the Management Board), Felix Majekodumi (Director / Member of the Management Board), J. O. Ibru (Director / Member of the Management Board), J. W. Adeyinka (Director / Member of the Management Board)",,http://www.securities.com/Public/company-profile/NG/Total_Nigeria_Plc_en_2033781.html,,,,,,,,,495,http://www.securities.com/Public/company-profile/NG/Total_Nigeria_Plc_en_2033781.html,http://www.ng.total.com/,,,,
,Total Upstream Nigeria Limited (TUPNIL),Total Upstream Nigeria Limited (TUPNIL),,,,Nigeria,,,,,,,,,"Guy Maurice, Chairman
Elisabeth Proust, Managing Director / Chief Executive
Charles Ngoka
Bruno Erwes
Olivier De-Langavant
Marc Blaizot
Francois Le-Cocq
Edith Ofili-Okonkwo
Fabrice Arnaud
Clement Berthian
Olatowun Candide-Johnson, Company Secretary",,http://www.ng.total.com/02_about_tepng/0209_tupni_board.htm,,,,,,,,,,,http://www.ng.total.com/,,,,
,WorleyParsons Limited,WorleyParsons Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zech Oil and Gas Nigeria Limited,Zech Oil and Gas Nigeria Limited,,,,Nigeria,,,,,2001,http://www.zechoil.com/,"Close 6B, Plot 4, Housing Estate, Elekahia, Port Harcourt, Rivers State",,,,,,,,,,,,,310,http://www.zechoil.com/,http://www.zechoil.com/,,,,
,Bell Oil and Gas Nigeria Limited,Bell Oil and Gas Nigeria Limited,,,,Nigeria,,,,,,,,,"Kayode Thomas, Director
Ayo Aderibigbe, Director
Akindele Rockson, Director
Oyibo Chamberlain, Director
Nwani Andrew, Director
Ogboro Francis, Director
Adesina Festus A., Director","Kayode Thomas (325,000)
Ayo Aderibigbe (225,000)
Akindele Rockson (180,000)
Akinkumi Rockson (50,000)
Nwani Andrew (100,000)
Bamidele Kale (70,000)
Otunba Festus Adesina (50,000)",https://drive.google.com/file/d/0B-KlXDOYUc-ON1E1WlkxVHJfUFE/edit?usp=sharing,,,,,,,,,,,,,,,
,Pipelines and Product Marketing Company Limited,Pipelines and Product Marketing Company Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Idmon Engineering and Construction Company Limited,Idmon Engineering and Construction Company Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seplat Petroleum Development Company Plc,Seplat Petroleum Development Company Plc,,,,Nigeria,,,,,,,,,"Henin Jean-Francois, Director
Hochard Michel Noel Marie, Director
Orjiakor Ambrose Bryant Chukwueloka, Director
Avuru Augustine Ojuekwu, Director
Ofurhie Macaulay Agbada, Director
Ada-bayero Nasir, Director
Omiyi Basil, Director
Connal Stuart, Director
Okeahalam Charles, Director
Okauru Ifueko Omoigui, Director
Alexander Michael Richard, Director
Brown Roger, Director","MIL (formerly Maurel & Prom Nigeria) SAS (180,000,000)
Sheba Petroleum Development Co. Ltd (BVI) (124,000,000)
Platform Petroleum (JV) Ltd (BVI) (96,000,000)",https://drive.google.com/file/d/0B-KlXDOYUc-ONUI4b3RRd2F2eDQ/edit?usp=sharing,,,,,,,,,,,,,,,
