timestamp,name,,legal_name,other_names,,previous_names,,oc_id,,jurisdiction,jurisdiction_source,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,document_name,documentation_summary,document_raw,document_url,,,,
,Dec Oil & Gas Limited,,,Dec Oil & Gas Limited,http://nielsonngr.com/about-us/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delaney Petroleum,,,Delaney Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DeltaAfrik Engineering Limited,,,DeltaAfrik Engineering Limited,http://64.224.108.87/news/35504_SHI-wins-3bn-deal-to-build-FPSO-for-Nigerian-oil-fields.html,,,,,,,,,,,2003,http://www.deltaafrik.com/about/,"Bay Atlantic Tower, No. 4 Freedom Road, 3rd Roundabout Lekki-Epe Expressway, Ikate, Lekki Phase 1, Lagos. ",http://www.deltaafrik.com/contact/,Engr. Akin Odumakinde,,,,,,,,,,,,,http://www.deltaafrik.com/,,,,,,,,
,Department of Petroleum Resources (DPR),,,Department of Petroleum Resources (DPR),http://www.lighthouselaboratories.com/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dewayles International Limited,,,Dewayles International Limited,http://www.dewaylesinternational.com/index.php?option=com_content&view=article&id=5&Itemid=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dorman Long Engineering Limited,,,Dorman Long Engineering Limited,http://www.belloil.com/clients/2008-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dowell Schlumberger Nigeria Limited,,,Dowell Schlumberger Nigeria Limited,http://bgiresourcesltd.com/Projects_types5.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dubri Oil Company Limited,,,Dubri Oil Company Limited,http://www.lighthouselaboratories.com/clients.html,,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EHRC Energy,,,EHRC Energy,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eland Oil and Gas Limited,,,Eland Oil and Gas Limited,http://www.ventures-africa.com/2012/09/elcrest-acquires-30-stake-in-shells-oml-40-oil-block-for-102m/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elcrest Exploration and Production Nigeria Limited,,,Elcrest Exploration and Production Nigeria Limited,http://www.ventures-africa.com/2012/09/elcrest-acquires-30-stake-in-shells-oml-40-oil-block-for-102m/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elf Aquitaine SA,,,Elf Aquitaine SA,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=322925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elf Petroleum Limited,,,Elf Petroleum Limited,http://www.teconoilserv.com/index.php?s=projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eni International BV,,,Eni International BV,http://www.nlng.com/PageEngine.aspx?&id=43,,,,,Netherlands,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=5465070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eni SpA,,,Eni SpA,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=47233834,,,,,Italy,http://investing.businessweek.com/research/stocks/snapshot/snapshot.asp?ticker=ENI:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Esso Exploration and Production Nigeria Limited,74,,Esso Exploration and Production Nigeria Limited,http://www.bgiresourcesltd.com/index2.php?p=projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Esso Exploration and Production Nigeria Limited,73,,Esso Exploration and Production Nigeria Limited,http://www.bgiresourcesltd.com/index2.php?p=projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Express Petroleum and Gas Company Limited,,,Express Petroleum and Gas Company Limited,https://drive.google.com/file/d/0B-KlXDOYUc-Oc202aWtIVXRaV0U/edit?usp=sharing,,,ng/154941,https://drive.google.com/file/d/0B-KlXDOYUc-Oc202aWtIVXRaV0U/edit?usp=sharing,Nigeria,,,,,,,,,,"Alhaji Aminu Alhassan Dantata, Director 
Alhaji Tajudeen Aminu Dantata, Director
Alhaji Sadiq Aminu Dantata, Director
Alhaji Hassan Aminu Dantata, Director
Ummalkahair Aminu Dantata, Director
Alhaji Aminu Adamu Muhammad, Director
Alhaji Lawal Umar, Director","Alhaji Aminu Alhassan Dantata (480,000,000)
Alhaji Tajudeen Aminu Dantata (5,000,000)
Alhaji Sadiq Aminu Dantata (5,000,000)
Alhaji Hassan Aminu Dantata (5,000,000)
Ummalkahair Aminu Dantata (5,000,000)",https://drive.google.com/file/d/0B-KlXDOYUc-Oc202aWtIVXRaV0U/edit?usp=sharing,,,,,,,,,,,,,,,,,,,
,Exprotech Nigeria Limited,,,Exprotech Nigeria Limited,http://www.belloil.com/clients/2012-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ExxonMobil Corporation,78,,ExxonMobil Corporation,http://www.exxonmobil.com.ng/nigeria-english/pa/about_who_eepnl.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ExxonMobil Nigeria,77,,ExxonMobil Nigeria,http://cisaninternational.com/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,First Aluminum Plc,,,First Aluminum Plc,http://wellman-wellington.org/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,First Axis Oil & Gas,,,First Axis Oil & Gas,http://www.oandoplc.com/wp-content/uploads/Q12006.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,First Exploration & Petroleum Development Company Limited,,,First Exploration & Petroleum Development Company Limited,http://oilbarrel.com/media/pub/var/conference_presenter_presentation_file/68.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,First Hydrocarbon Nigeria Limited,,,First Hydrocarbon Nigeria Limited,http://www.fhnigeria.com/assets/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fomoyi Services Nigeria limited,,,Fomoyi Services Nigeria limited,http://fomoyi.com/index.php?option=com_content&view=article&id=5&Itemid=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G. Cappa Plc,,,G. Cappa Plc,http://www.danelec-ltd.com/Clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galba Limited,,,Galba Limited,http://bgiresourcesltd.com/Projects_types.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geometric Power Limited,,,Geometric Power Limited,http://bgiresourcesltd.com/Projects_types.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
