Timestamp,Legal Name,Other Names,Previous Names,Company number,Source URL,Company Type,Source URL,Trading name,Source URL,Date founded,Source URL,Headquarters,Source URL,Key people,Source URL,Revenue,Source URL,Profit,Source URL,Total assets,Source URL,Total equity,Source URL,Employees,Source URL,Website,Document Name,Document Summary,Document Raw,Document URL
,,Nuova Cimi Montubi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,G. Cappa Plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Inter Global Procurement Engineering Services Limited (IGPES),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bint and Prathel Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,National Petroleum Investment Management Services (NAPIMS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Newcross Petroleum Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dewayles International Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belbop Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Movido Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ExxonMobil Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Esso Exploration and Production Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mobil Producing Nigeria Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Eni SpA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nigerian Agip Exploration (NAE),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Eni International BV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shell Petroleum NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Royal Dutch Shell Plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shell Gas BV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shell International Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The Shell Petroleum Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Exploration and Production Holdings SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Elf Aquitaine SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sinopec International Petroleum Exploration & Production Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mirror Lake Oil and Gas Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Exploration and Production Nigeria SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Gaz & Electricite Holdings France,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total LNG Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,China Petrochemical Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nigeria LNG Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nigerian National Petroleum Corporation (NNPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Addax Petroleum Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chevron Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Schlumberger Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AMEC Plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Daewoo E&C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,China National Offshore Oil Corporation (CNOOC),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Petrobras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sapetro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Statoil ASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chevron Petroleum Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nexen Petroleum Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oriental Energy Resources Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Addax Petroleum (Nigeria Offshore) Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Express Petroleum and Gas Company Limited,,,,,,,,,,,,"Alhaji Aminu Alhassan Dantata, Director 
Alhaji Tajudeen Aminu Dantata, Director
Alhaji Sadiq Aminu Dantata, Director
Alhaji Hassan Aminu Dantata, Director
Ummalkahair Aminu Dantata, Director
Alhaji Aminu Adamu Muhammad, Director
Alhaji Lawal Umar, Director",https://drive.google.com/file/d/0B-KlXDOYUc-Oc202aWtIVXRaV0U/edit?usp=sharing,,,,,,,,,,,,,,,
,,Shebah Exploration & Production Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Allied Energy Plc,,,,,,,,,,,,"Lawal Kase Lukmon, Director
Lawal Kamoru, Director
Lawal Mickey, Director
Adegbemile Iyabo, Director
Busari Murhi, Director
Moser Gregg, Director
Umar Nasiru, Director
Kio Clement Bestman, Director
Azuike Kelechi Godwin, Director
Ahmadu Abubakar, Director
Ayorinde Bayo, Director
Serena-Dokubo Spiff David, Director
Uwechue-Mbanefo Sally Yuette, Director
Mortensen Martn, Director",https://drive.google.com/file/d/0B-KlXDOYUc-OcVNjVXdZLUJuN0E/edit?usp=sharing,,,,,,,,,,,,,,,
,,Petroleum Prospects International Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Niger Delta Petroleum Resources Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Amni International Petroleum Development Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
