Company,Source URL,Confidence
Eni Oil Holdings BV,https://www.sec.gov/Archives/edgar/data/1002242/000131143514000005/sj0414eni20f2013.htm#E8,High
Eni SpA,http://allafrica.com/stories/201303190385.html,Low 
,http://dailyindependentnig.com/2014/04/agip-set-to-deliver-first-oil-on-opl-245-by-2016/,Low 
,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=5465070,Medium
,https://www.sec.gov/Archives/edgar/data/1002242/000131143514000005/sj0414eni20f2013.htm#E8,High
Equator Exploration Limited,http://www.equatorexploration.com/operations/nigeria_opl_323_and_321.aspx,Medium 
Esso Exploration and Production Nigeria Limited,http://www.teconoilserv.com/index.php?s=projects,Medium 
,http://www.bgiresourcesltd.com/index2.php?p=projects,Medium 
,http://www.hyprops.com/projects.html,Medium 
,http://www.offshore-technology.com/projects/bonga/,Medium 
,https://www.addaxpetroleum.com/about-us/news/130-nigeria-china-petrochemical-corporation-sinopec-group-is-in-the-final-stages-of-acquiring-totals-interest-in-oml-138-offshore-nigeria,Medium 
,http://www.exxonmobil.com.ng/nigeria-english/pa/about_who_eepnl.aspx,High 
Express Petroleum and Gas Company Limited,http://www.igbofocus.co.uk/How_the_North_Cornered_Nigeria/how_the_north_cornered_nigeria-s_oil_blocs.html,Low 
,http://www.newswire.ca/fr/story/326777/addax-petroleum-acquires-shallow-water-exploration-license-in-nigeria,Low 
ExxonMobil Corporation,http://www.exxonmobil.com.ng/nigeria-english/pa/about_who_eepnl.aspx,High 
,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=4727307,Medium
ExxonMobil Nigeria,http://www.akersolutions.com/en/Global-menu/Media/Press-Releases/All/2013/Aker-Solutions-signs-umbilical-contract-with-ExxonMobil/,Medium 
,http://www.akersolutions.com/Documents/Drilling%20Technologies/Process%20Systems/Reference%20lists/Crude%20oil%20complete.pdf,Medium 
,http://www.bgiresourcesltd.com/index2.php?p=projects,Medium 
,http://pointengineering.com/index.php/experience?start=1,Medium 
,http://www.belloil.com/clients/2013-2/,Medium 
,http://cisaninternational.com/projects.html,Medium 
,http://www.instrutechng.com/Projects.html,Medium 
First Axis Oil & Gas,http://www.oandoplc.com/wp-content/uploads/Q12006.pdf,Low 
Fomoyi Services Nigeria limited,http://fomoyi.com/index.php?option=com_content&view=article&id=5&Itemid=8,
Galba Limited,http://bgiresourcesltd.com/Projects_types.htm,Medium 
,http://www.danelec-ltd.com/Clients.html,Medium 
Glencore Energy UK Limited,http://www.siriuspetroleum.com/media-news/sirius-petroleum-plc-glencore-exclusivity-off-take-agreement/,Medium 
,http://www.glencore.com/assets/Uploads/transaction_archive/glencore/gx_merger/Glencore-Prospectus.pdf,High
Glencore UK Limited,http://www.glencore.com/assets/Uploads/transaction_archive/glencore/gx_merger/Glencore-Prospectus.pdf,High
Global Energy Company,http://allafrica.com/stories/201303190385.html,Low 
